point,longitude,latitude,intercept_2022,cos_2022,sin_2022,intercept_2023,cos_2023,sin_2023
15,-124.23650972032355,47.94124516712642,0.025921679029839495,-0.04274706405968403,-0.0021787714542326154,0.07361949199533516,0.008699415576507833,0.02977874088325035
16,-124.17111236763965,42.27071976765035,0.009351738913043132,-0.05583099332757044,-0.018615104615725176,0.03929776940504886,-0.03184025487373867,4.643460004346005e-05
17,-123.80828282438378,43.567348048748464,0.024624667251640458,-0.048254979002095896,-0.004172940856293699,0.041728748353874086,-0.03432424444557556,0.0014455662611779013
18,-123.65601838372552,45.45596610208135,0.1708628425388603,0.01718882606671227,0.007595654394616263,0.1623772542171272,0.017922205263512365,0.005466587737892335
19,-123.65215562800381,43.35732193532132,0.11285594571042216,0.0017158425743651,0.023476685318643255,0.22683242181623772,-0.11095399188970903,-0.06799083333766638
20,-123.47366038104926,44.22769961410473,0.015103523659717143,-0.061576194705363775,-0.003418699907872878,0.10933664220499938,-0.14659297054318596,0.01086311049412828
21,-123.29094305225935,49.583904495667376,0.21179934264290523,0.014559909865479854,0.004587733434866818,0.18312453745443763,-0.012818452470126954,-0.0022787899431393924
22,-123.27657000771343,42.97221417301928,0.08971469824243175,-0.0007515131584683045,0.017628567166267723,0.31496395110339054,-0.048310364658417475,-0.004065791637388498
23,-122.70640929688277,44.652692575021675,0.06441266117203147,-0.013153591764491771,0.006623853424214902,0.23490410372433423,-0.05423305160869948,0.004048955221538934
24,-122.67892084918871,40.99816633616663,0.23128384441525587,0.029054191897460467,0.02208420634142377,0.042937909471749074,0.030123412147746033,0.030362496123301615
25,-122.51003757577425,44.67065888070406,0.18258831619773058,0.0810015999332878,0.012150676208653736,0.33176276751578976,-0.027373142980260286,0.02163655833877843
26,-122.449580957153,44.677486076863374,0.06897549078971583,-0.009768185961210792,0.006656001800159501,0.25568336269771313,-0.024759676569824543,0.013455402474503997
27,-122.42460779225448,40.847249368434554,0.1300969871360881,-0.11042530237718105,-0.010686126309091527,-0.007355062942170486,-0.013283486080074578,-0.0296450695363166
28,-122.31636080051808,47.13159360154949,0.12059650279833643,-0.023879269993110675,0.0026450335575912806,0.10255642201955924,-0.04701850454324155,-0.009933528182212993
29,-122.09025484350519,41.768561523827536,0.17987313596462007,-0.11041532501115688,-0.12386815005622719,0.1856585618263586,-0.04969352484532114,-0.04479153894085608
30,-122.07552247284563,44.699674464381125,0.20461282514706244,-0.01550431510366915,-0.013204776731030604,0.16590311923570497,-0.04102251280002372,-0.008202050391307777
31,-122.06878510821474,44.727971395830885,0.08328512141223078,0.004425326626098816,0.010025834855714373,0.09285786886981323,0.015807361266766923,0.017702205093882404
32,-121.00769509461276,48.77640888677234,0.09858727336761434,-0.009683018690818876,0.01207872043972477,0.09631716656308842,-0.016694537807318218,0.014832911543928753
33,-120.9771523749527,48.72035401304328,0.058104531911642276,-0.018573198919028193,8.049099638454415e-05,0.07778437107250359,-0.00020305523176373532,0.016837940480050016
34,-120.55188991945052,41.64252788946557,0.21420222282482637,0.019473195785562475,0.01847769107792818,0.06906364609505627,0.05813699054580463,0.03247448728148053
35,-120.44624804203806,41.958555206418815,0.28067151760835113,-0.03549800600626218,0.017006061299128756,-0.002129300185511171,-0.017893337623851324,0.005132906177981672
36,-120.43915135129352,41.958824701004055,0.24115535375639277,-0.05270547289251947,-0.011735336721874262,-0.002716723171022905,-0.018194527101462406,0.0046790985468850915
37,-120.04425195239457,41.915166578195844,0.11347123674506567,-0.16819876134884257,-0.17677527564184434,0.2755193865015705,0.13382951713339108,-7.385088891737176e-05
38,-119.84087337206991,41.69355219760356,0.3647624939755031,-0.1269632106201872,-0.015045825507097075,0.03671849807729656,0.021204119794892666,0.014981620169657374
39,-119.8122171145065,42.32282205412928,0.34103370383992554,0.0369508387146755,0.017088115784751154,0.010415266020094207,-0.015619735929878876,0.02389472158054244
