point,INTP,COS0,SIN0,z
2,0.2914373280543211,-0.0556984429233436,-0.0215076833571033,0.3439224999999999
2,0.2914373280543211,-0.0556984429233436,-0.0215076833571033,0.0
2,0.2913839445348352,-0.0556974683638874,-0.0214875419136174,0.35026125
2,0.2913839445348352,-0.0556974683638874,-0.0214875419136174,0.0
2,0.2830136140406378,-0.0558795538927318,-0.0184446689639405,0.3285225
2,0.2830136140406378,-0.0558795538927318,-0.0184446689639405,0.0
2,0.2805519782256899,-0.0560259264156653,-0.0176062448992455,0.3292375
2,0.2805519782256899,-0.0560259264156653,-0.0176062448992455,0.0
2,0.2818158530600518,-0.05590587944146,-0.0179976451140848,0.3307775
2,0.2818158530600518,-0.05590587944146,-0.0179976451140848,0.0
2,0.2818158530600518,-0.05590587944146,-0.0179976451140848,0.0
2,0.2818158530600518,-0.05590587944146,-0.0179976451140848,0.0
2,0.286025952408449,-0.0549357342718527,-0.0193882020448647,0.328055
3,0.25,-0.015,-0.045,0.0
3,0.2629485379603465,-0.0276080298829064,-0.0362345803066184,0.28818
3,0.2629485379603465,-0.0276080298829064,-0.0362345803066184,0.0
3,0.2629485379603465,-0.0276080298829064,-0.0362345803066184,0.0
3,0.2629485379603465,-0.0276080298829064,-0.0362345803066184,0.0
3,0.264916170784087,-0.0286696207221717,-0.0365677102820727,0.2899675
3,0.264916170784087,-0.0286696207221717,-0.0365677102820727,0.0
3,0.2655542319927423,-0.0288622028552235,-0.0367518858636655,0.2943675
3,0.2655542319927423,-0.0288622028552235,-0.0367518858636655,0.0
3,0.2655542319927423,-0.0288622028552235,-0.0367518858636655,0.0
3,0.2655542319927423,-0.0288622028552235,-0.0367518858636655,0.0
3,0.2473709395439698,-0.0255806644244952,-0.0269652375993303,0.257655
3,0.2473709395439698,-0.0255806644244952,-0.0269652375993303,0.0
3,0.2514476997040102,-0.0259630046400879,-0.0288028849693588,0.2912325
3,0.2514476997040102,-0.0259630046400879,-0.0288028849693588,0.0
3,0.2508278980975148,-0.0259418504322428,-0.0285543616621042,0.2868875
3,0.2508278980975148,-0.0259418504322428,-0.0285543616621042,0.0
3,0.2489581047943778,-0.0259659031324401,-0.0278709472008831,0.284385
3,0.2489581047943778,-0.0259659031324401,-0.0278709472008831,0.0
3,0.2417915005851057,-0.0263485716560746,-0.0254813329528067,0.2700025
3,0.2417915005851057,-0.0263485716560746,-0.0254813329528067,0.0
3,0.2364179800111961,-0.0268314416360623,-0.0238702163844163,0.265245
3,0.2364179800111961,-0.0268314416360623,-0.0238702163844163,0.0
3,0.2364179800111961,-0.0268314416360623,-0.0238702163844163,0.0
3,0.2364179800111961,-0.0268314416360623,-0.0238702163844163,0.0
3,0.2264183656257404,-0.0290587509396266,-0.0206894411385968,0.2446475
4,0.25,-0.015,-0.045,0.0
4,0.2650817869812988,-0.029685180792624,-0.0347904927164668,0.2953575
4,0.2650817869812988,-0.029685180792624,-0.0347904927164668,0.0
4,0.2650817869812988,-0.029685180792624,-0.0347904927164668,0.0
4,0.2650817869812988,-0.029685180792624,-0.0347904927164668,0.0
4,0.263836055427438,-0.0290130751081658,-0.0345795841989054,0.28532
4,0.263836055427438,-0.0290130751081658,-0.0345795841989054,0.0
4,0.2643023017577494,-0.0291537994016989,-0.0347141656275924,0.29324
4,0.2643023017577494,-0.0291537994016989,-0.0347141656275924,0.0
4,0.2643023017577494,-0.0291537994016989,-0.0347141656275924,0.0
